category	filename	title	file_line_no	turn_line_no	scene_id	line_type	line_no	new_line_no	speaker_label	scene_speaker_id	anno	line_text
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	27	L21	S0	DIALOGUE	D24	D24	EMILY	1	D23	Backpacking and staying in hostels?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	28	L22	S0	DIALOGUE	D25	D25	RICHARD	2	D24	Who’s backpacking and staying in hostels?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	29	L23	S0	DIALOGUE	D26	D26	LORELAI	0	D25	We are.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	30		S0	ACTION	A3	A3				[Emily and Richard laugh]
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	31	L24	S0	DIALOGUE	D27	D27	EMILY	1	D26	No, you’re not.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	32	L25	S0	DIALOGUE	D28	D28	RICHARD	2	D27	What a ridiculous thought.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	33	L26	S0	DIALOGUE	D29	D29	RORY	3	D28	We are.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	34	L26	S0	DIALOGUE	D30	D30	RORY	3	D29	We’re going to backpack around Europe.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	35	L27	S0	DIALOGUE	D31	D31	EMILY	1	D30	Yes, I know, it’s fun to tease your grandmother, dear.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	36	L27	S0	DIALOGUE	D32	D32	EMILY	1	D31	They’re going to backpack across Europe, Richard.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	37	L28	S0	DIALOGUE	D33	D33	RICHARD	2	D32	I heard, sounds delightful.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	38	L28	S0	DIALOGUE	D34	D34	RICHARD	2	D33	Perhaps we should join them.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	39	L29	S0	DIALOGUE	D35	D35	EMILY	1	D34	That sounds wonderful.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	40	L29	S0	DIALOGUE	D36	D36	EMILY	1	D35	Tomorrow I’ll go out and buy some cutoffs.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	41	L30	S0	DIALOGUE	D37	D37	LORELAI	0	D36	Guys, we’re not kidding.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	42	L31	S0	DIALOGUE	D38	D38	EMILY	1	D37	You’re telling me you’re seriously going to traipse across Europe with your possessions strapped to your back and sleep in a room with thirty other people?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	43	L32	S0	DIALOGUE	D39	D39	LORELAI	0	D38	Yes.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	44	L33	S0	DIALOGUE	D40	D40	RICHARD	2	D39	No.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	45	L34	S0	DIALOGUE	D41	D41	RORY	3	D40	Grandpa.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	46	L35	S0	DIALOGUE	D42	D42	RICHARD	2	D41	It’s not safe.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	47	L35	S0	DIALOGUE	D43	D43	RICHARD	2	D42	I forbid it.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	48	L35	S0	DIALOGUE	D44	D44	RICHARD	2	D43	Call our travel agent.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	49	L36	S0	DIALOGUE	D45	D45	RORY	3	D44	But we want to be spontaneous.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	50	L36	S0	DIALOGUE	D46	D46	RORY	3	D45	Jump a train to Paris, head off to Spain.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	51	L37	S0	DIALOGUE	D47	D47	LORELAI	0	D46	Oh no, it’s raining in Spain.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	52	L37	S0	DIALOGUE	D48	D48	LORELAI	0	D47	But since the rain in Spain stays mainly in the plain. . .
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	53	L38	S0	DIALOGUE	D49	D49	RORY	3	D48	Looks like Italy for us!
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	54	L39	S0	DIALOGUE	D50	D50	LORELAI	0	D49	Mamma mia!
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	55	L40	S0	DIALOGUE	D51	D51	RICHARD	2	D50	You can still travel around aimlessly and stay in a decent hotel.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	56	L41	S0	DIALOGUE	D52	D52	LORELAI	0	D51	We wanna do it cheap.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	57	L42	S0	DIALOGUE	D53	D53	EMILY	1	D52	We’ll pay.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	58	L43	S0	DIALOGUE	D54	D54	LORELAI	0	D53	No.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	59	L44	S0	DIALOGUE	D55	D55	RORY	3	D54	Grandma, it’s going to be fun, really.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	60	L45	S0	DIALOGUE	D56	D56	LORELAI	0	D55	Kids do this all the time.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	61	L46	S0	DIALOGUE	D57	D57	EMILY	1	D56	Yes, but you’re not a kid, you’re a grown woman.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	62	L46	S0	DIALOGUE	D58	D58	EMILY	1	D57	What are people going to think when they see a grown woman bunking down with a bunch of twenty-year-olds?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	63	L47	S0	DIALOGUE	D59	D59	LORELAI	0	D58	Well, if the twenty-year-olds are cute, they’ll probably think, “Lucky!”
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	64	L48	S0	DIALOGUE	D60	D60	RORY	3	D59	Grandma, don’t be upset.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	65	L48	S0	DIALOGUE	D61	D61	RORY	3	D60	It really is going to be great.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	66		S0	ACTION	A4	A4				[reads from book]
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	67	L49	S0	DIALOGUE	D62	D62	EMILY	1	D61	What’s so traumatic about a night without a bed anyway?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	68	L49	S0	DIALOGUE	D63	D63	EMILY	1	D62	My survey shows those who have had the opportunity to be a refugee for a night have their perspectives broaden and actually enjoy the experience.”
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	69	L49	S0	DIALOGUE	D64	D64	EMILY	1	D63	Richard, this book is encouraging them to sleep in a park like a squirrel.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	70	L50	S0	DIALOGUE	D65	D65	LORELAI	0	D64	It’s okay, Mom.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	71	L51	S0	DIALOGUE	D66	D66	EMILY	1	D65	My first trip to Europe, I went to Paris and stayed at the Ritz.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	72	L52	S0	DIALOGUE	D67	D67	LORELAI	0	D66	Well, I tell you what, if it’ll make you happy, we’ll go to Paris and eat out of their dumpster.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	73		S0	ACTION	A5	A5				[opening credits]
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	74		S1	ACTION	A6	A6				[The construction crew is working in front of the soda shop]
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	75	L53	S1	DIALOGUE	D68	D68	TOM	0	T2	All of this goes in there.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	76	L53	S1	DIALOGUE	D69	D69	TOM	0	D68	Let’s move, we’re getting backlogged.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	77	L54	S1	DIALOGUE	D70	D70	DEAN	1	T3	Tom, I brought over the nails you asked for.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	78	L55	S1	DIALOGUE	D71	D71	TOM	0	D70	Good.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	79	L55	S1	DIALOGUE	D72	D72	TOM	0	D71	Get the guy’s lunch orders, will ya?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	80	L56	S1	DIALOGUE	D73	D73	DEAN	1	D72	Already done.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	81	L57	S1	DIALOGUE	D74	D74	TOM	0	D73	You’re a good kid, Dean.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	82	L57	S1	DIALOGUE	D75	D75	TOM	0	D74	You hardly bug me at all.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	83	L58	S1	DIALOGUE	D76	D76	DEAN	1	D75	High praise.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	84	L59	S1	DIALOGUE	D77	D77	TOM	0	D76	Yeah, yeah, go, get the food.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	85	L59	S1	DIALOGUE	D78	D78	TOM	0	D77	And don’t forget the pickles.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	86	L60	S1	DIALOGUE	D79	D79	DEAN	1	D78	I wouldn’t dare.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	87	L61	S1	DIALOGUE	D80	D80	TOM	0	T4	Oh, what do I gotta say to get this crap inside where it belongs?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	88	L61	S1	DIALOGUE	D81	D81	TOM	0	D80	You got a language I’m not privy to?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	89	L61	S1	DIALOGUE	D82	D82	TOM	0	D81	Cause I’m a fast learner.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	90	L62	S1	DIALOGUE	D83	D83	MISS PATTY	2	T5	Dean-o, Dean-o, Dean-o. If you grow any taller, I’m gonna have to get myself some mountain climbing equipment.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	91	L63	S1	DIALOGUE	D84	D84	DEAN	1	D83	You’re getting dangerous to even walk near, you know that, Patty.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	92	L64	S1	DIALOGUE	D85	D85	MISS PATTY	2	D84	I’ve been told.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	93	L65	S1	DIALOGUE	D86	D86	DEAN	1	T6	You looking for Mr. Doose?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	94	L66	S1	DIALOGUE	D87	D87	MISS PATTY	2	D86	Oh, precious, no.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	95	L66	S1	DIALOGUE	D88	D88	MISS PATTY	2	D87	I’m just looking.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	96	L67	S1	DIALOGUE	D89	D89	DEAN	1	D88	Ah.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	97	L68	S1	DIALOGUE	D90	D90	MISS PATTY	2	D89	Yeah.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	98	L69	S1	DIALOGUE	D91	D91	DEAN	1	D90	Okay.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	99	L69	S1	DIALOGUE	D92	D92	DEAN	1	D91	Well, uh, enjoy.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	100	L70	S1	DIALOGUE	D93	D93	MISS PATTY	2	D92	Oh, I always do.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	101	L70	S1	DIALOGUE	D94	D94	MISS PATTY	2	D93	Ahh.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	102		S2	ACTION	A7	A7				[Luke is leaning on the counter, reading a book]
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	103	L71	S2	DIALOGUE	D95	D95	JESS	0	T7	Move.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	104	L72	S2	DIALOGUE	D96	D96	LUKE	1	D95	What?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	105	L72	S2	DIALOGUE	D97	D97	LUKE	1	D96	Oh, sorry.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	106	L73	S2	DIALOGUE	D98	D98	JESS	0	D97	What’s that?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	107	L74	S2	DIALOGUE	D99	D99	LUKE	1	D98	It’s nothing.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	108	L75	S2	DIALOGUE	D100	D100	JESS	0	D99	You reading?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	109	L76	S2	DIALOGUE	D101	D101	LUKE	1	D100	It’s nothing.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	110	L77	S2	DIALOGUE	D102	D102	JESS	0	D101	I never see you reading.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	111	L78	S2	DIALOGUE	D103	D103	LUKE	1	D102	Will you just. .
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	112	L78	S2	DIALOGUE	D104	D104	LUKE	1	D103	.I read.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	113	L79	S2	DIALOGUE	D105	D105	JESS	0	D104	What are you reading?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	114	L80	S2	DIALOGUE	D106	D106	LUKE	1	D105	I read, I read.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	115	L81	S2	DIALOGUE	D107	D107	JESS	0	D106	What do you read?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	116	L82	S2	DIALOGUE	D108	D108	LUKE	1	D107	Invoices, expiration dates.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	117	L83	S2	DIALOGUE	D109	D109	JESS	0	D108	I stand corrected.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	118		S2	ACTION	A8	A8				[takes Luke’s book]
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	119	L84	S2	DIALOGUE	D110	D110	LUKE	1	T8	Hey!
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	120	L85	S2	DIALOGUE	D111	D111	JESS	0	D110	“Hidden Romantic Gems of the Restaurant World.”
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	121	L85	S2	DIALOGUE	D112	D112	JESS	0	D111	Well, well, well.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	122	L86	S2	DIALOGUE	D113	D113	LUKE	1	D112	I would like my property back, please.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	123	L87	S2	DIALOGUE	D114	D114	JESS	0	D113	Planning something special?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	124	L88	S2	DIALOGUE	D115	D115	LUKE	1	D114	No, nothing special.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	125	L88	S2	DIALOGUE	D116	D116	LUKE	1	D115	I’m just taking Nicole to dinner on Friday and I wanna find a place.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	126	L89	S2	DIALOGUE	D117	D117	JESS	0	D116	A place you don’t normally go to?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	127	L90	S2	DIALOGUE	D118	D118	LUKE	1	D117	Yes.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	128	L91	S2	DIALOGUE	D119	D119	JESS	0	D118	So a special place.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	129	L92	S2	DIALOGUE	D120	D120	LUKE	1	D119	Will you stop saying that word, please?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	130	L92	S2	DIALOGUE	D121	D121	LUKE	1	D120	And yes.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	131	L93	S2	DIALOGUE	D122	D122	JESS	0	D121	Find anything good?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	132	L94	S2	DIALOGUE	D123	D123	LUKE	1	D122	Every single description in here talks about tablecloths and dish design, nothing about the food.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	133	L95	S2	DIALOGUE	D124	D124	JESS	0	D123	You are really going through an awful lot for this lawyer.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	134	L96	S2	DIALOGUE	D125	D125	LUKE	1	D124	She’s not a lawyer.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	135	L96	S2	DIALOGUE	D126	D126	LUKE	1	D125	I mean, yes, she’s a lawyer, but she’s also a lady, and a very nice lady who probably expects good food with her fancy plates and sparse yet elegant décor.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	136	L97	S2	DIALOGUE	D127	D127	JESS	0	T9	You’re pathetic when you’re in love.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	137	L98	S2	DIALOGUE	D128	D128	LUKE	1	D127	I’m not in love, I’m dating.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	138	L98	S2	DIALOGUE	D129	D129	LUKE	1	D128	This is what you do when you’re dating.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	139	L99	S2	DIALOGUE	D130	D130	JESS	0	D129	It’s not what I do when I’m dating.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	140	L100	S2	DIALOGUE	D131	D131	LUKE	1	D130	Well, Rory’s a lucky girl.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	141	L100	S2	DIALOGUE	D132	D132	LUKE	1	D131	Work.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	142	L100	S2	DIALOGUE	D133	D133	LUKE	1	D132	I’m going upstairs.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	143	L101	S2	DIALOGUE	D134	D134	JESS	0	D133	Fine, but if a horse-drawn carriage shows up here, my throwing up will be eternal.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	144		S2	ACTION	A9	A9				[Dean walks up to the counter]
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	145	L102	S2	DIALOGUE	D135	D135	DEAN	2	T10	I gotta place an order.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	146	L103	S2	DIALOGUE	D136	D136	JESS	0	D135	Talk into the clown.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	147	L104	S2	DIALOGUE	D137	D137	DEAN	2	D136	I am.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	148	L105	S2	DIALOGUE	D138	D138	JESS	0	D137	What do you want?
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	149	L106	S2	DIALOGUE	D139	D139	DEAN	2	D138	Six burgers, three with cheese -- two cheddar, one Swiss.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	150	L106	S2	DIALOGUE	D140	D140	DEAN	2	D139	Two plain, one with chili, cheese and onions on the side.
TVShowGuess	Gilmore_Girls_03x13.split_scenes.json	03x13 - Dear Emily And Richard	151	L106	S2	DIALOGUE	D141	D141	DEAN	2	D140	Your memory’s that good?
